reference,Title,year,validate_results,contribute_to_academia,task_objective_group,task,se_task,se_activity,ml_task,research_focus,Datasets,Baselines,Metrics,Validation Methods,Ground Truth ,Reliablity_Summary,Relevance_Summary,Reliablity_Score,Relevance_Score,ground_truth_score,baseline_score,metrics_score,validation_score,datasets_score,ground_truth_note,baseline_note,metrics_note,validation_note,datasets_note,baseline
mastropaolo2022using,using deep learning to generate complete log statements,2022,3.0,3.0,2,Automated Logging,logging,software_maintenance,generation,direct_solution,"7,125 Java methods, 1,465 Log4j repos (OS)","Ablation: No Pre-training, Multi-Task, LogStmt-Task, Denoising-Task","Accuracy (level, location), BLEU-4","Manual validation (300 errors), Ablation studies",Assumed correctness of developer-written logs ,"The dataset avoids duplicate methods between training and test sets, but it is unclear whether repositories in the test set were entirely unseen during training, raising concerns about cross-repository generalizability. Manual validation focused on \textbf{300 incorrect predictions}, categorizing them into semantically equivalent, meaningful but different, and meaningless. The ground truth dataset, was not reviewed for noise or inconsistencies, leaving potential quality issues unaddressed.","Metrics address \textbf{log placement, log levels, and message generation}, aligning with practical goals. However, \textbf{accuracy} poorly handles class imbalance in log levels, and complementary metrics such as \textbf{F1-score} and confusion matrices are missing. \textbf{BLEU-4} is poorly suited for evaluating log messages, as even small semantic differences (e.g., ""error occurred"" vs. ""error handled"") can drastically alter the impact of the log statement. The dataset, derived from \textbf{Java projects using Log4j}, limits generalizability to other languages and frameworks. The assumption that every method requires a log statement is acknowledged by the authors as a \textbf{scope boundary} rather than an evaluation limitation.",3,3,-1,0,-1,1,1,Assumed correctness without validation,Missing baseline comparison,Limited metric selection,Manual validation of errors,Large-scale Java method dataset,nan
yu2023log,Log Parsing with Generalization Ability under New Log Types,2023,,,2,Log Parsing and Analysis,Log parsing,software_maintenance,generation,direct_solution,"16 Loghub datasets (e.g., HDFS, BGL, Android, Windows) (OS, IND)","Drain, Spell, LenMa, SHISO, Logram, Nulog","Grouping Accuracy, Edit Distance","Ablation (test-time training, variable imitation), Sensitivity analysis","Manually labeled subsets (2K logs/dataset), minor corrections applied ","Tested on diverse datasets, covering multiple domains and log types. Manual corrections were applied to labeled subsets, but comprehensive validation of the entire ground truth remains unclear. Cross-repository generalizability is not explicitly addressed.","Metrics align with practical goals, focusing on adaptability to new log types and efficiency at real-world log generation scales. However, deployment overheads and failure analysis remain unexplored.",3,4,1,0,1,1,1,Manually labeled with expert review,Limited baseline comparison,Task-appropriate metrics,Cross-validation and sensitivity analysis,Multiple diverse datasets,nan
ma2024knowlog,KnowLog: Knowledge Enhanced Pre-trained Language Model for Log Understanding,2024,,,2,Log Parsing and Analysis,Log parsing,software_maintenance,generation,direct_solution,"96K templates, Cisco, Huawei, H3C logs (OS, IND)","CNN, Bi-LSTM, BERT, RoBERTa, UniLog","Accuracy, Weighted F1, Precision@1, MRR",Low-resource analysis,"FPI: Expert-labeled (43 phenomena, multi-label, no conflict details); LDSM: Positive from documentation, negative sampled automatically ","Pre-training used 96,060 log templates from Cisco, Huawei, and H3C, filtered for duplicates, but no explicit statement clarifies if downstream test datasets contain \textbf{logs generated by repositories or vendors unseen during pre-training}, raising questions about cross-domain generalizability. Manual labeling details are inconsistent across tasks: while the \textbf{Fault Phenomenon Identification (FPI)} dataset was labeled by experts, no information is provided about the number of annotators, conflict resolution processes, or inter-annotator agreement. Similarly, in the \textbf{Log and Description Semantic Matching (LDSM)} task, positive pairs were derived directly from documentation, and negative pairs were artificially created, but the validation process is not described, leaving potential ambiguity in label quality.","The evaluation uses a variety of task-specific metrics. For \textbf{Log and Possible Cause Ranking (LPCR)}, metrics such as \textbf{Precision@1} and \textbf{Mean Reciprocal Rank (MRR)} are well-chosen due to the ranking nature of the task. Precision@1 focuses on ensuring the top-ranked cause is correct, aligning with practical use cases where developers prioritize the most likely root cause. MRR complements this by capturing the position of the first correct cause in the ranking, offering a more nuanced assessment. These metrics are more suitable than accuracy or recall for ranking problems. Across other tasks, F1-score effectively handles class imbalance in multi-label tasks like \textbf{Fault Phenomenon Identification (FPI)}, ensuring robust evaluation.",3,4,-1,1,1,0,1,Unclear annotation process for some tasks,Multiple baseline approaches,Task-appropriate metrics,Limited validation details,Large-scale multi-vendor dataset,nan
liu2024interpretable,Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies,2024,,,2,Log Parsing and Analysis,Log parsing,software_maintenance,generation,direct_solution,"(HDFS, BGL, Zookeeper, Android) (OS, IND)","LogPPT, LogStamp, LogParse, LogSig, Spell, Drain, DeepLog, LogAnomaly, LogRobust","F1-score (session-level, template-level), Precision, Recall","Ablation (prompt strategies: Self-prompt, Chain-of-Thought, In-context), Human evaluation (6 experts, 200 logs)","Expert-annotated anomalies and parsing templates, potential pre-training data overlap","The study evaluates \textbf{LogPrompt} on nine datasets across two tasks: \textbf{log parsing} and \textbf{anomaly detection}. \textbf{F1-score} serves as the primary metric, effectively capturing task performance. \textbf{Ablation studies} assess prompt strategies (self-prompt, chain-of-thought (CoT), in-context prompt) incrementally, showing clear improvements in session-level and template-level F1-scores.  \textbf{Human validation is limited to six experts and 200 logs}, focusing only on correctly predicted samples, introducing potential bias. Additionally, the authors acknowledge potential \textbf{data leakage} from GPT-3.5's pre-training corpus.","The \textbf{F1-score}, as the primary metric, aligns with the task objectives addressing the imbalanced nature of anomaly detection and ensuring accurate variable extraction in log parsing. While OpenAI's API manages backend scalability, the study does not evaluate observable \textbf{deployment overheads} (e.g., latency, cost per log processed) or the impact of \textbf{prompt design constraints} (e.g., token limits, batching strategies) on scalability.",3,3,1,1,1,1,1,Expert annotations with conflict resolution,Multiple traditional and modern baselines,Comprehensive metrics suite,Ablation and human evaluation,Multiple datasets across domains,nan
xu2024unilog,UniLog: Automatic Logging via LLM and In-Context Learning,2024,,,2,Log Parsing and Analysis,logging,software_maintenance,generation,direct_solution,"12,012 code snippets from 1,465 GitHub repositories (OS)","LANCE, GPT-3 variants (Ada, Babbage, Curie), Codex (Fine-Tuned)","PA, LA, MA, CLA, CMA, BLEU-4","Ablation (warmup, example count, example order), Manual error analysis (500 samples)",Log statement correctness validated via annotated dataset and automated metrics ,"The evaluation systematically measures UniLog’s performance across three subtasks (logging position, verbosity level, log message generation) using automated metrics (\textbf{PA, LA, MA, CLA, CMA, BLEU-4}). Ablation studies investigate the impact of warmup strategies, prompt example counts, and example ordering. The dataset (12,012 snippets from 1,465 GitHub repositories) was preprocessed and standardized. However, class imbalance in verbosity levels is not addressed, and dataset representativeness across diverse domains remains unclear. While a qualitative manual error analysis of 500 log messages provides insights into common failure patterns (e.g., synonym replacements, order changes, meaningless information), it lacks structured developer feedback or reproducibility.","The evaluation metrics align with task goals, with \textbf{CLA} and \textbf{CMA} adding granularity to correctness analysis. However, BLEU-4 focuses on lexical similarity, limiting insights into semantic correctness and practical message quality. Deployment concerns (e.g., integration into CI/CD workflows, runtime scalability) are not addressed. Additionally, the manual error analysis, while insightful, does not include structured developer validation to ensure real-world relevance.",3,3,1,1,1,1,1,Validated correctness through annotations,Multiple LLM variants as baselines,Multiple task-specific metrics,Ablation studies and error analysis,Large dataset from diverse repositories,nan
biswas2020achieving,achieving reliable sentiment analysis in the software engineering domain using bert,2020,3.0,3.0,3,Sentiment Analysis,Sentiment analysis,software_maintenance,recommendation,existing_solution_evaluation,5500 SO sentences,RNN4SentiSE,"Precision, Recall, F-Measure (10-fold CV, Kappa: 0.88)","Manual, refined guidelines, cross-validation ","Manual, refined guidelines, cross-validation","Robust dataset construction with 5500 annotated Stack Overflow sentences validated by high inter-rater agreement (Cohen’s Kappa: 0.88). Macro-averaged F-measure ensures fairness across classes, addressing class imbalance effectively. Use of 10-fold cross-validation adds rigor, though reliance on a single annotator for new data introduces slight concern. Absence of real-world user validation slightly limits overall reliability.","Metrics focus on class-specific performance (e.g., precision, recall, F-measure), addressing key challenges like minority classes and domain-specific nuances. Results highlight suitability for practical SE tasks. However, generalizability is limited as the evaluation is confined to Stack Overflow posts, which may reduce the broader applicability of the findings to other types of SE data. The lack of explicit evaluation on actionable insights for practitioners slightly tempers relevance.",3,3,1,1,1,1,-1,High inter-rater agreement,Limited baseline comparison,Class-specific metrics,Cross-validation implemented,Limited to SO posts only,nan
zhang2020sentiment,sentiment analysis for software engineering: how far can pre-trained transformer models go?,2020,3.0,3.0,3,Sentiment Analysis,Sentiment analysis,software_maintenance,generation,existing_solution_evaluation,"API reviews, SO posts, app reviews, GitHub, Jira, CR (15K total)","CoreNLP, SentiStrength(-SE), SentiCR, Senti4SD","Precision, Recall, F1, Training Time (70/30 split, cross-dataset)","Manually labeled, SE-specific polarity ","Manually labeled, SE-specific polarity","Evaluation leverages five publicly available SE datasets curated from prior works with diverse class distributions. Metrics such as macro-F1, micro-F1, and AUC ensure fair performance across classes in imbalanced datasets. Comprehensive error analysis identifies issues like implicit sentiment polarity and subjective annotations, offering detailed insights into model limitations. Retaining original annotations ensures consistency with prior benchmarks.","Datasets represent real-world SE scenarios, addressing challenges like data scarcity and imbalanced distributions. Error analysis reveals practical obstacles in deployment, such as subjective annotations and implicit sentiment handling, directly aligning with real-world sentiment analysis needs. The evaluation’s focus on dataset quality and deployment challenges enhances its applicability for SE contexts.",4,4,1,1,1,1,1,Manual SE-specific annotations,Multiple sentiment tool baselines,Class-balanced metrics,Cross-dataset validation,Multiple SE domain datasets,nan
zhang2023revisiting,Revisiting Sentiment Analysis for Software Engineering in the Era of Large Language Models,2023,,,3,Sentiment Analysis,Sentiment analysis,software_maintenance,generation,existing_solution_evaluation / direct_solution,"SE datasets: Gerrit, GitHub, GooglePlay, Jira, StackOverflow (11K total)","sLLMs (BERT, RoBERTa), bLLMs (Llama2, Vicuna)","Precision, Recall, F1, AUC (80/10/10 split, Wilcoxon test)","Pre-labeled, multiple annotators, conflict resolution ","Pre-labeled, multiple annotators, conflict resolution","Evaluation leverages five publicly available SE datasets curated from prior works with diverse class distributions. Metrics such as macro-F1, micro-F1, and AUC ensure fair performance across classes in imbalanced datasets. Comprehensive error analysis identifies issues like implicit sentiment polarity and subjective annotations, offering detailed insights into model limitations. ","Datasets represent real-world SE scenarios, addressing challenges like data scarcity and imbalanced distributions. Error analysis reveals practical obstacles in deployment, such as subjective annotations and implicit sentiment handling, directly aligning with real-world sentiment analysis needs. The evaluation’s focus on dataset quality and deployment challenges enhances its applicability for SE contexts.",4,4,1,1,1,1,1,Multiple annotators with resolution,Multiple LLM type comparison,Comprehensive metric suite,Statistical significance testing,Multiple SE domain datasets,nan
wang2022your,Where is Your App Frustrating Users?,2022,3.0,3.0,3,User Feedback Processing,App Review clustering,software_maintenance,generation,direct_solution,"App reviews: 6 apps (3.4K labeled), 18 apps (318K unlabeled)","SAFE, Caspar, KEFE, BiLSTM-CRF, LDA, K-Means","Precision, Recall, F1 (extraction), ARI, NMI (10-fold CV, user survey)","Manual, iterative refinement (Kappa: 0.78–0.86) ","Manual annoation, iterative refinement (Kappa: 0.78–0.86)","The evaluation utilizes a well-constructed dataset of app reviews (3,426 reviews across six apps) with ground truth annotations validated by inter-rater agreement (Cohen's Kappa: 0.78–0.86), ensuring labeling accuracy.  An ablation study explores the role of review attributes (e.g., sentiment, app category) in extraction performance, providing insights into factors influencing model reliability. Comprehensive comparisons with state-of-the-art baselines add rigor to the assessment. The qualitative evaluation of the large-scale dataset (318,534 reviews) further demonstrates the method's practical usability and supports findings on scalability.","The study uses precision, recall, F1-score (for problematic feature extraction), and ARI/NMI (for clustering) to align the evaluation with real-world needs, ensuring metrics are suited to assessing both extraction and grouping tasks. Precision and recall are critical for accurately identifying problematic features, particularly given the imbalanced nature of extracted features where some are underrepresented. F1-score complements these metrics by balancing precision and recall. ARI and NMI validate clustering consistency and practical applicability, addressing the need for actionable developer insights from app reviews.",4,4,1,1,1,1,1,High inter-rater agreement,Multiple technique comparison,Multiple complementary metrics,Cross-validation and user study,Balanced labeled/unlabeled split,nan
he2022ptm4tag,ptm4tag: sharpening tag recommendation of stack overflow posts with pre-trained models,2022,2.0,3.0,3,User Feedback Processing,Tag recommendation,software_maintenance,classification,direct_solution,"Stack Overflow posts (10.38M train, 100K test)","Post2Vec, PTM4Tag (BERT, RoBERTa, CodeBERT, ALBERT, BERTOverflow)","Precision@k, Recall@k, F1@k (Fixed split, ablation, error analysis)","User-labeled tags, filtered rare/noisy tags ","User-labeled tags, filtered rare/noisy tags","The evaluation uses a large-scale dataset from Stack Overflow with user-generated tags as ground truth. Filtering processes exclude rare and noisy tags, ensuring a cleaner train/test dataset. However, no manual verification of the ground truth annotations introduces potential risks of label noise. The ablation study investigates the relative contribution of post components (Title, Description, Code) to tagging accuracy, shedding light on which data sources are most critical for the evaluated models. Rigorous comparisons between five PTM variants and a state-of-the-art CNN baseline reinforce the evaluation's robustness.","Evaluation metrics (Precision@k, Recall@k, F1-score@k) are well-suited to assessing multi-label tag prediction in real-world scenarios, particularly as they reflect how well the top-k recommended tags align with actual user needs. This aligns closely with practical applications of tag recommendation. Precision and recall address challenges posed by imbalanced tag distributions, while F1-score balances these for a more comprehensive assessment. The ablation study further informs real-world applicability by highlighting the importance of individual post components (e.g., Title) in achieving tagging accuracy.",4,4,1,1,1,1,1,User-labeled tags with filtering,Multiple PTM variant comparison,Comprehensive ranking metrics,Ablation and error analysis,Large-scale SO dataset,nan
motger2024t,T-FREX: A Transformer-based Feature Extraction Method from Mobile App Reviews,2024,,,3,User Feedback Processing,App review feature extraction,software_maintenance,classification,direct_solution,"App reviews: 468 apps (23.8K reviews, 32.4K annotated features)","SAFE (baseline), BERT, RoBERTa, XLNet","Precision, Recall, F1 (token \","feature-level), Precision@k, Recall@k (10-fold CV, lexical overlap analysis, ablation, human validation)","Crowdsourced (AlternativeTo), validated by human annotators (F1: 0.719) ","The evaluation utilizes a large, diverse dataset (468 apps, 23,816 reviews, 32,443 annotated features) sourced from a crowdsourced software recommendation platform (\textit{AlternativeTo}). The dataset is enriched with app metadata and refined annotations. Evaluation spans both \textbf{in-domain} (fine-tuned on the same app category) and \textbf{out-of-domain} (evaluated on unseen categories) scenarios, ensuring robust assessment across contexts. Metrics are calculated at both \textbf{token-level} and \textbf{feature-level} granularity, with an additional \textbf{human validation phase} for newly predicted features via crowdsourced annotation platforms. High inter-rater agreement (F1: 0.719) underscores annotation reliability. Ablation studies, lexical overlap analysis, and fine-grained category-level insights further enhance reliability.","The study employs \textbf{Precision, Recall, F1-score} (at both token and feature levels) alongside \textbf{Precision@k} and \textbf{Recall@k}, reflecting real-world use cases. The evaluation framework emphasizes identifying features that are actionable and practically relevant for app developers. Human validation ensures that newly discovered features align with real-world user expectations. However, the evaluation does not explicitly assess whether these features provide actionable insights for app developers, slightly limiting practical relevance. The dual in-domain and out-of-domain configurations demonstrate applicability across both stable and novel app domains, while fine-tuning capabilities address domain-specific nuances effectively.",4,4,1,1,1,1,1,Crowdsourced with expert validation,Multiple transformer baselines,Multiple granularity metrics,Cross-validation and human validation,Large diverse app review dataset,nan
hey2020norbert,NoRBERT: Transfer Learning for Requirements Classification,2020,3.0,3.0,4,Requirements Classification ,Requirements classification,software_requirements,generation,direct_solution,"PROMISE NFR, relabeled version","Feature-based classifiers, Tree, SVM, Naïve Bayes, CNN-based approach","Precision, Recall, F1, Weighted F1","Stratified 10-fold CV, loPo ","Human-annotated labels (Functional and 11 NFR subclasses in the original dataset; Functional (F), Quality (Q), and Both (F+Q) in the relabeled dataset).","Robust evaluation with loPo and p-fold methods ensures generalization to unseen projects. Effective sampling addresses class imbalance. However, reliance on the outdated PROMISE NFR dataset limits adaptability to modern requirements data.","Validation mimics real-world scenarios, where models generalize across projects. Binary and multi-class classification are evaluated using metrics such as F1-Score and Weighted F1 for thorough quantitative assessment. Lack of qualitative evaluation, such as user feedback or case studies, limits insights into broader applicability.",3,3,1,1,1,1,-1,Human-annotated labels,Multiple classifier comparison,Class-balanced metrics,Cross-validation variants,Limited to PROMISE dataset,nan
